national_ref;way_id;osm_link;name;highway_tag;speed_limit;
V94160_140;205014751;"https://www.openstreetmap.org/way/205014751";null;steps;null;
V94160_141;205014752;"https://www.openstreetmap.org/way/205014752";null;footway;null;
V94160_142;205014753;"https://www.openstreetmap.org/way/205014753";null;steps;null;
V94160_143;205014755;"https://www.openstreetmap.org/way/205014755";null;footway;null;
V94160_144;205014757;"https://www.openstreetmap.org/way/205014757";null;footway;null;
V94160_145;205014758;"https://www.openstreetmap.org/way/205014758";null;footway;null;
V94160_146;211109551;"https://www.openstreetmap.org/way/211109551";null;steps;null;
V94160_147;211109552;"https://www.openstreetmap.org/way/211109552";null;service;null;
V94160_148;211109553;"https://www.openstreetmap.org/way/211109553";null;service;null;
V94160_149;211109556;"https://www.openstreetmap.org/way/211109556";null;service;null;
V94160_150;211109559;"https://www.openstreetmap.org/way/211109559";null;service;null;
V94160_151;218704209;"https://www.openstreetmap.org/way/218704209";null;service;30;
V94160_152;218704210;"https://www.openstreetmap.org/way/218704210";Allée des Platanes;footway;null;
V94160_153_D-237;221657687;"https://www.openstreetmap.org/way/221657687";Avenue Foch;tertiary;50;
V94160_154;223253669;"https://www.openstreetmap.org/way/223253669";null;corridor;null;
V94160_155;223253673;"https://www.openstreetmap.org/way/223253673";null;service;null;
V94160_156;224710991;"https://www.openstreetmap.org/way/224710991";Allée Alice Guy-Blaché;service;null;
V94160_157;224748049;"https://www.openstreetmap.org/way/224748049";null;service;null;
V94160_158;230365758;"https://www.openstreetmap.org/way/230365758";Avenue Benoît Lévy;residential;30;
V94160_159_D-120;233182642;"https://www.openstreetmap.org/way/233182642";Avenue Gallieni;primary;30;
V94160_160;239035812;"https://www.openstreetmap.org/way/239035812";null;footway;null;
V94160_161;239928591;"https://www.openstreetmap.org/way/239928591";null;footway;null;
V94160_162;239929931;"https://www.openstreetmap.org/way/239929931";null;footway;null;
V94160_163;245991172;"https://www.openstreetmap.org/way/245991172";null;footway;null;
V94160_164;261443128;"https://www.openstreetmap.org/way/261443128";null;footway;null;
V94160_165;265378135;"https://www.openstreetmap.org/way/265378135";null;service;30;
V94160_166;265378136;"https://www.openstreetmap.org/way/265378136";null;service;null;
V94160_167;265378138;"https://www.openstreetmap.org/way/265378138";null;service;null;
V94160_168;265378140;"https://www.openstreetmap.org/way/265378140";null;service;null;
V94160_169;281041565;"https://www.openstreetmap.org/way/281041565";null;path;null;
V94160_170;298852012;"https://www.openstreetmap.org/way/298852012";Avenue Sainte-Marie;residential;30;
V94160_171;321958131;"https://www.openstreetmap.org/way/321958131";Place du Général Leclerc;service;null;
