national_ref;way_id;osm_link;name;highway_tag;speed_limit;
V75013_1710;299740523;"https://www.openstreetmap.org/way/299740523";Rue des Orchidées;residential;30;
V75013_1711;299740524;"https://www.openstreetmap.org/way/299740524";Rue Brillat-Savarin;residential;30;
V75013_1712;299740525;"https://www.openstreetmap.org/way/299740525";Rue Brillat-Savarin;residential;30;
V75013_1713;299740526;"https://www.openstreetmap.org/way/299740526";Rue Eugène Atget;footway;null;
V75013_1714;299740527;"https://www.openstreetmap.org/way/299740527";Rue Samson;living_street;20;
V75013_1715;299741409;"https://www.openstreetmap.org/way/299741409";Rue Pascal;residential;30;
V75013_1716;299741410;"https://www.openstreetmap.org/way/299741410";Boulevard Arago;secondary;30;
V75013_1717;299741411;"https://www.openstreetmap.org/way/299741411";Rue de Croulebarbe;residential;30;
V75013_1718;299741413;"https://www.openstreetmap.org/way/299741413";Rue Berbier-du-Mets;residential;30;
V75013_1719;299741414;"https://www.openstreetmap.org/way/299741414";null;footway;null;
V75013_1720;299741415;"https://www.openstreetmap.org/way/299741415";Boulevard Arago;secondary;30;
V75013_1721;299741416;"https://www.openstreetmap.org/way/299741416";null;footway;null;
V75013_1722;301267939;"https://www.openstreetmap.org/way/301267939";Passage Commun Y/13;residential;30;
V75013_1723;301267941;"https://www.openstreetmap.org/way/301267941";Passage Commun Y/13;unclassified;null;
V75013_1724;301267943;"https://www.openstreetmap.org/way/301267943";Passage Commun Y/13;residential;30;
V75013_1725;301298252;"https://www.openstreetmap.org/way/301298252";null;footway;null;
V75013_1726;305833992;"https://www.openstreetmap.org/way/305833992";null;steps;null;
V75013_1727;305961043;"https://www.openstreetmap.org/way/305961043";Place d'Italie;primary;30;
V75013_1728;309765258;"https://www.openstreetmap.org/way/309765258";Avenue d'Italie;primary;30;
V75013_1729;309765259;"https://www.openstreetmap.org/way/309765259";Avenue d'Italie;primary;30;
V75013_1730;309765261;"https://www.openstreetmap.org/way/309765261";Avenue d'Italie;primary;30;
V75013_1731;318355427;"https://www.openstreetmap.org/way/318355427";null;steps;null;
V75013_1732;318379234;"https://www.openstreetmap.org/way/318379234";Place Jean-Michel Basquiat;footway;null;
V75013_1733;318379236;"https://www.openstreetmap.org/way/318379236";null;steps;null;
V75013_1734;318379239;"https://www.openstreetmap.org/way/318379239";null;footway;null;
V75013_1735;319273542;"https://www.openstreetmap.org/way/319273542";null;steps;null;
V75013_1736;319273543;"https://www.openstreetmap.org/way/319273543";null;steps;null;
V75013_1737_EM19;319273544;"https://www.openstreetmap.org/way/319273544";null;steps;null;
V75013_1738_EM-11;319273545;"https://www.openstreetmap.org/way/319273545";null;steps;null;
V75013_1739_EM18;319273547;"https://www.openstreetmap.org/way/319273547";null;steps;null;
V75013_1740;319304897;"https://www.openstreetmap.org/way/319304897";null;steps;null;
V75013_1741_10453229;319304899;"https://www.openstreetmap.org/way/319304899";null;steps;null;
V75013_1742;319304901;"https://www.openstreetmap.org/way/319304901";null;steps;null;
V75013_1743;319304904;"https://www.openstreetmap.org/way/319304904";null;steps;null;
V75013_1744_10453228;319304906;"https://www.openstreetmap.org/way/319304906";null;steps;null;
V75013_1745_10453230;319304908;"https://www.openstreetmap.org/way/319304908";null;steps;null;
V75013_1746;319304911;"https://www.openstreetmap.org/way/319304911";null;steps;null;
V75013_1747;319304914;"https://www.openstreetmap.org/way/319304914";null;steps;null;
V75013_1748;319304917;"https://www.openstreetmap.org/way/319304917";null;steps;null;
V75013_1749_10538682;319304919;"https://www.openstreetmap.org/way/319304919";null;steps;null;
V75013_1750_10538679;319304920;"https://www.openstreetmap.org/way/319304920";null;steps;null;
V75013_1751_10538677;319304921;"https://www.openstreetmap.org/way/319304921";null;steps;null;
V75013_1752_10538678;319304922;"https://www.openstreetmap.org/way/319304922";null;steps;null;
V75013_1753_10538675;319304923;"https://www.openstreetmap.org/way/319304923";null;steps;null;
V75013_1754_10538680;319304924;"https://www.openstreetmap.org/way/319304924";null;steps;null;
V75013_1755;319304925;"https://www.openstreetmap.org/way/319304925";null;steps;null;
V75013_1756;319304926;"https://www.openstreetmap.org/way/319304926";null;steps;null;
V75013_1757;319304927;"https://www.openstreetmap.org/way/319304927";null;steps;null;
V75013_1758_EM-1;319308103;"https://www.openstreetmap.org/way/319308103";null;steps;null;
V75013_1759_EM-2;319308104;"https://www.openstreetmap.org/way/319308104";null;steps;null;
V75013_1760_EM-3;319308105;"https://www.openstreetmap.org/way/319308105";null;steps;null;
V75013_1761;319339837;"https://www.openstreetmap.org/way/319339837";null;steps;null;
V75013_1762;319339838;"https://www.openstreetmap.org/way/319339838";null;steps;null;
V75013_1763;319339839;"https://www.openstreetmap.org/way/319339839";null;steps;null;
V75013_1764;319339840;"https://www.openstreetmap.org/way/319339840";null;steps;null;
V75013_1765;319339842;"https://www.openstreetmap.org/way/319339842";null;steps;null;
V75013_1766;319339843;"https://www.openstreetmap.org/way/319339843";null;steps;null;
V75013_1767;319339844;"https://www.openstreetmap.org/way/319339844";null;steps;null;
V75013_1768;319339845;"https://www.openstreetmap.org/way/319339845";null;steps;null;
V75013_1769;319644593;"https://www.openstreetmap.org/way/319644593";Hémicycle;footway;null;
V75013_1770;319644603;"https://www.openstreetmap.org/way/319644603";null;steps;null;
V75013_1771_EM-17;319644604;"https://www.openstreetmap.org/way/319644604";null;steps;null;
V75013_1772_EM-10;319644608;"https://www.openstreetmap.org/way/319644608";null;steps;null;
V75013_1773_EM-16;319644610;"https://www.openstreetmap.org/way/319644610";null;steps;null;
V75013_1774_EM-9;319644611;"https://www.openstreetmap.org/way/319644611";null;steps;null;
V75013_1775;319644613;"https://www.openstreetmap.org/way/319644613";null;steps;null;
V75013_1776_EM-7;319644614;"https://www.openstreetmap.org/way/319644614";null;steps;null;
V75013_1777_EM-8;319644615;"https://www.openstreetmap.org/way/319644615";null;steps;null;
V75013_1778;319644616;"https://www.openstreetmap.org/way/319644616";null;steps;null;
V75013_1779_EM-6;319644617;"https://www.openstreetmap.org/way/319644617";null;steps;null;
V75013_1780;319644618;"https://www.openstreetmap.org/way/319644618";null;steps;null;
V75013_1781;319644619;"https://www.openstreetmap.org/way/319644619";null;steps;null;
V75013_1782;319644620;"https://www.openstreetmap.org/way/319644620";null;steps;null;
V75013_1783_EM-13;319644626;"https://www.openstreetmap.org/way/319644626";null;steps;null;
V75013_1784;319644628;"https://www.openstreetmap.org/way/319644628";null;steps;null;
V75013_1785;319644631;"https://www.openstreetmap.org/way/319644631";null;steps;null;
V75013_1786;319644652;"https://www.openstreetmap.org/way/319644652";null;footway;null;
V75013_1787;319644653;"https://www.openstreetmap.org/way/319644653";null;footway;null;
V75013_1788;319644654;"https://www.openstreetmap.org/way/319644654";null;footway;null;
V75013_1789;319899849;"https://www.openstreetmap.org/way/319899849";null;steps;null;
V75013_1790;319929019;"https://www.openstreetmap.org/way/319929019";null;steps;null;
V75013_1791;319929020;"https://www.openstreetmap.org/way/319929020";null;steps;null;
V75013_1792;320306022;"https://www.openstreetmap.org/way/320306022";null;footway;null;
V75013_1793;320306023;"https://www.openstreetmap.org/way/320306023";null;footway;null;
V75013_1794;320306024;"https://www.openstreetmap.org/way/320306024";null;footway;null;
V75013_1795;320306025;"https://www.openstreetmap.org/way/320306025";null;footway;null;
V75013_1796;320306026;"https://www.openstreetmap.org/way/320306026";null;footway;null;
V75013_1797;320306028;"https://www.openstreetmap.org/way/320306028";null;footway;null;
V75013_1798;320306029;"https://www.openstreetmap.org/way/320306029";null;footway;null;
V75013_1799;320306030;"https://www.openstreetmap.org/way/320306030";null;footway;null;
V75013_1800;320306032;"https://www.openstreetmap.org/way/320306032";null;footway;null;
V75013_1801;320306034;"https://www.openstreetmap.org/way/320306034";null;footway;null;
V75013_1802;320306035;"https://www.openstreetmap.org/way/320306035";null;footway;null;
V75013_1803;320306036;"https://www.openstreetmap.org/way/320306036";null;footway;null;
V75013_1804;320306037;"https://www.openstreetmap.org/way/320306037";null;footway;null;
V75013_1805;320306038;"https://www.openstreetmap.org/way/320306038";null;footway;null;
V75013_1806;320306039;"https://www.openstreetmap.org/way/320306039";null;footway;null;
V75013_1807;320306042;"https://www.openstreetmap.org/way/320306042";null;footway;null;
V75013_1808;320306043;"https://www.openstreetmap.org/way/320306043";null;footway;null;
V75013_1809;320306044;"https://www.openstreetmap.org/way/320306044";null;footway;null;
V75013_1810;320306045;"https://www.openstreetmap.org/way/320306045";null;footway;null;
V75013_1811;320306046;"https://www.openstreetmap.org/way/320306046";null;footway;null;
V75013_1812;320306047;"https://www.openstreetmap.org/way/320306047";null;footway;null;
V75013_1813;320306048;"https://www.openstreetmap.org/way/320306048";null;footway;null;
V75013_1814;320306049;"https://www.openstreetmap.org/way/320306049";null;footway;null;
V75013_1815;320306050;"https://www.openstreetmap.org/way/320306050";null;footway;null;
V75013_1816;320306053;"https://www.openstreetmap.org/way/320306053";null;footway;null;
V75013_1817;320306054;"https://www.openstreetmap.org/way/320306054";null;footway;null;
V75013_1818;320306055;"https://www.openstreetmap.org/way/320306055";null;footway;null;
V75013_1819;320306056;"https://www.openstreetmap.org/way/320306056";null;footway;null;
V75013_1820;320306057;"https://www.openstreetmap.org/way/320306057";null;footway;null;
V75013_1821;320306058;"https://www.openstreetmap.org/way/320306058";null;footway;null;
V75013_1822;320306060;"https://www.openstreetmap.org/way/320306060";null;footway;null;
V75013_1823;320306061;"https://www.openstreetmap.org/way/320306061";null;footway;null;
V75013_1824;320306062;"https://www.openstreetmap.org/way/320306062";null;footway;null;
V75013_1825;320306063;"https://www.openstreetmap.org/way/320306063";null;footway;null;
V75013_1826;320306066;"https://www.openstreetmap.org/way/320306066";null;footway;null;
V75013_1827;320306067;"https://www.openstreetmap.org/way/320306067";null;footway;null;
V75013_1828;320306068;"https://www.openstreetmap.org/way/320306068";null;footway;null;
V75013_1829;320306069;"https://www.openstreetmap.org/way/320306069";null;footway;null;
V75013_1830;320306070;"https://www.openstreetmap.org/way/320306070";null;footway;null;
V75013_1831;320306071;"https://www.openstreetmap.org/way/320306071";null;footway;null;
V75013_1832;320306072;"https://www.openstreetmap.org/way/320306072";null;footway;null;
V75013_1833;320306074;"https://www.openstreetmap.org/way/320306074";null;footway;null;
V75013_1834;320306075;"https://www.openstreetmap.org/way/320306075";null;footway;null;
V75013_1835;320306077;"https://www.openstreetmap.org/way/320306077";null;footway;null;
V75013_1836;320306078;"https://www.openstreetmap.org/way/320306078";null;footway;null;
V75013_1837;320306079;"https://www.openstreetmap.org/way/320306079";null;footway;null;
V75013_1838;320306080;"https://www.openstreetmap.org/way/320306080";null;footway;null;
V75013_1839;320306081;"https://www.openstreetmap.org/way/320306081";null;footway;null;
V75013_1840;320306082;"https://www.openstreetmap.org/way/320306082";null;footway;null;
V75013_1841;320306083;"https://www.openstreetmap.org/way/320306083";null;footway;null;
V75013_1842_EM-4;320306084;"https://www.openstreetmap.org/way/320306084";null;steps;null;
V75013_1843;320306085;"https://www.openstreetmap.org/way/320306085";null;footway;null;
V75013_1844;320306086;"https://www.openstreetmap.org/way/320306086";null;footway;null;
V75013_1845;320306088;"https://www.openstreetmap.org/way/320306088";null;footway;null;
V75013_1846;320306089;"https://www.openstreetmap.org/way/320306089";null;footway;null;
V75013_1847;320306090;"https://www.openstreetmap.org/way/320306090";null;footway;null;
V75013_1848;320306091;"https://www.openstreetmap.org/way/320306091";null;footway;null;
V75013_1849;320306092;"https://www.openstreetmap.org/way/320306092";null;footway;null;
V75013_1850;320306095;"https://www.openstreetmap.org/way/320306095";null;footway;null;
V75013_1851;320306096;"https://www.openstreetmap.org/way/320306096";null;footway;null;
V75013_1852;320306097;"https://www.openstreetmap.org/way/320306097";null;footway;null;
V75013_1853;320306098;"https://www.openstreetmap.org/way/320306098";null;footway;null;
V75013_1854;320306099;"https://www.openstreetmap.org/way/320306099";null;footway;null;
V75013_1855;320306100;"https://www.openstreetmap.org/way/320306100";null;footway;null;
V75013_1856;320306102;"https://www.openstreetmap.org/way/320306102";null;footway;null;
V75013_1857;320306103;"https://www.openstreetmap.org/way/320306103";null;footway;null;
V75013_1858;320306104;"https://www.openstreetmap.org/way/320306104";null;footway;null;
V75013_1859;320306105;"https://www.openstreetmap.org/way/320306105";null;footway;null;
V75013_1860;320306107;"https://www.openstreetmap.org/way/320306107";null;footway;null;
V75013_1861;320306108;"https://www.openstreetmap.org/way/320306108";null;footway;null;
V75013_1862;320306109;"https://www.openstreetmap.org/way/320306109";null;footway;null;
V75013_1863;320306110;"https://www.openstreetmap.org/way/320306110";null;footway;null;
